28.01.2017,385,730,заправка,андрей
28.01.2017,3709,409,заправка,андрей
28.01.2017,5406,100,мойка,андрей
28.01.2017,6829,20,парковка,андрей
28.01.2017,6829,140,мойка,андрей
28.01.2017,7347,850,заправка,андрей
28.01.2017,,,"17650бат,150долл артем нал",андрей
27.01.2017,1399,860,заправка,андрей
27.01.2017,1399,200,мойка,андрей
27.01.2017,7387,250,мойка,андрей
27.01.2017,7387,710,заправка,андрей
27.01.2017,1775,180,мойка,андрей
27.01.2017,9714,1000,заправка,андрей
27.01.2017,8007,1060,заправка,андрей
26.01.2017,7386,180,мойка,андрей
26.01.2017,1488,180,мойка,андрей
26.01.2017,,,10000бат снял с карты,андрей
26.01.2017,8213,200,мойка,андрей
26.01.2017,,,200бат баграт нал,андрей
26.01.2017,,,6000бат снял с карты,андрей
26.01.2017,,200,мототакси,андрей
25.1,5484,180,мойка,андрей
25.01.2017,5769,200,мойка,андрей
25.01.2017,5769,700,заправка,андрей
25.01.2017,,200,мототакси,андрей
25.01.2017,5771,180,мойка,андрей
25.01.2017,2552,200,мойка,андрей
25.01.2017,2552,400,заправка,андрей
25.01.2017,190,50,парковка,андрей
25.01.2017,190,100,мойка,андрей
25.01.2017,190,710,заправка,андрей
25.01.2017,,,43170бат артем нал,андрей
25.01.2017,4130,180,мойка,андрей
25.01.2017,4130,620,заправка,андрей
25.01.2017,1488,180,мойка,андрей
24.01.2017,9526,200,мойка,андрей
24.01.2017,9526,550,заправка,андрей
24.01.2017,5484,1150,заправка,андрей
24.01.2017,5709,180,мойка,андрей
24.01.2017,,,5050бат артем нал,андрей
24.01.2017,5484,180,мойка,андрей
24.01.2017,5771,180,мойка,андрей
23.01.2017,7386,180,мойка,андрей
23.01.2017,7386,400,заправка,андрей
23.01.2017,8247,180,мойка,андрей
23.01.2017,8247,770,заправка,андрей
23.01.2017,8247,180,мойка,андрей
23.01.2017,1619,480,заправка,андрей
23.01.2017,,,26250бат дима нал,андрей
22.01.2017,6661,900,заправка,андрей
22.01.2017,6661,200,мойка,андрей
22.01.2017,4261,500,заправка,андрей
22.01.2017,,,"13450бат,100долл,артем нал",андрей
21.01.2017,4125,180,мойка,андрей
21.01.2017,4720,470,заправка,андрей
20.01.2017,,,28100бат артем нал,андрей
19.01.2017,9714,200,мойка,андрей
19.01.2017,1244,500,заправка,андрей
19.01.2017,1244,200,мойка,андрей
18.01.2017,6373,1520,заправка,андрей
18.01.2017,,,"4480бат,700долл баграт нал",андрей
17.01.2017,,,8000бат артем нал,андрей
17.01.2017,3105,180,мойка,андрей
16.01.2017,5571,200,мойка,андрей
16.01.2017,9728,200,мойка,андрей
16.01.2017,,,150долл артем дал,андрей
16.01.2017,,,150долл отдал диме,андрей
15.01.2017,,,5000бат снял с карты,андрей
15.01.2017,1399,800,заправка,андрей
15.01.2017,,,21100бат артем нал,андрей
14.01.2017,,,5000бат снял с карты,андрей
14.1,,,200бат баграт нал,андрей
09.01.2017,8094,730,парковка,баграт
09.01.2017,8094,300,заправка,баграт
07.01.2017,9447,420,заправка,андрей
07.01.2017,,,5000бат баграт нал,андрей
07.01.2017,1737,900,заправка,андрей
07.01.2017,,,1102долл артем нал,андрей
